refinedUse,' dow',' dType',' Time','predicted Cluster',' Cluster'
0.220199,5,1,6480,cluster11,cluster11
0.744333,3,1,1480,cluster11,cluster15
0.744333,3,1,1480,cluster11,cluster15
0.744333,3,1,1480,cluster11,cluster15
0.744333,3,1,1480,cluster11,cluster15
0.744333,3,1,1480,cluster11,cluster15
0.744333,3,1,1480,cluster11,cluster15
0.744333,3,1,1480,cluster11,cluster15
0.744333,3,1,1480,cluster11,cluster15
0.744333,3,1,1480,cluster11,cluster15
0.744333,3,1,1480,cluster11,cluster15
0.744333,3,1,1480,cluster11,cluster15
0.744333,3,1,1480,cluster11,cluster15
0.744333,3,1,1480,cluster11,cluster15
0.744333,3,1,1480,cluster11,cluster15
0.744333,3,1,1480,cluster11,cluster15
0.744333,3,1,1480,cluster11,cluster15
0,0,1,3440,cluster11,cluster11
0.00635,3,1,3240,cluster11,cluster11
0,6,0,17540,cluster11,cluster11
0.574,3,1,4150,cluster11,cluster11
0.659101,3,1,540,cluster11,cluster15
0.659101,3,1,540,cluster11,cluster15
0.659101,3,1,540,cluster11,cluster15
0.659101,3,1,540,cluster11,cluster15
0.659101,3,1,540,cluster11,cluster15
0.659101,3,1,540,cluster11,cluster15
0.659101,3,1,540,cluster11,cluster15
0.659101,3,1,540,cluster11,cluster15
0.659101,3,1,540,cluster11,cluster15
0.659101,3,1,540,cluster11,cluster15
0.659101,3,1,540,cluster11,cluster15
0.659101,3,1,540,cluster11,cluster15
0.659101,3,1,540,cluster11,cluster15
0.659101,3,1,540,cluster11,cluster15
0.659101,3,1,540,cluster11,cluster15
0.659101,3,1,540,cluster11,cluster15
0.326817,0,0,1570,cluster11,cluster15
0.326817,0,0,1570,cluster11,cluster15
0.326817,0,0,1570,cluster11,cluster15
0.326817,0,0,1570,cluster11,cluster15
0.326817,0,0,1570,cluster11,cluster15
0.326817,0,0,1570,cluster11,cluster15
0.326817,0,0,1570,cluster11,cluster15
0.326817,0,0,1570,cluster11,cluster15
0.326817,0,0,1570,cluster11,cluster15
0.326817,0,0,1570,cluster11,cluster15
0.326817,0,0,1570,cluster11,cluster15
0.326817,0,0,1570,cluster11,cluster15
0.326817,0,0,1570,cluster11,cluster15
0.326817,0,0,1570,cluster11,cluster15
0.326817,0,0,1570,cluster11,cluster15
0.326817,0,0,1570,cluster11,cluster15
0.247317,5,1,6470,cluster11,cluster11
0.1262,6,0,8520,cluster11,cluster11
0.0005,4,1,1520,cluster11,cluster11
0.100266,3,1,3230,cluster11,cluster11
0,6,0,17530,cluster11,cluster11
0.572367,3,1,4140,cluster11,cluster11
0.372217,5,1,2030,cluster11,cluster7
0.372217,5,1,2030,cluster11,cluster7
0.372217,5,1,2030,cluster11,cluster7
0.372217,5,1,2030,cluster11,cluster7
0.372217,5,1,2030,cluster11,cluster7
0.372217,5,1,2030,cluster11,cluster7
0.372217,5,1,2030,cluster11,cluster7
0.372217,5,1,2030,cluster11,cluster7
0.372217,5,1,2030,cluster11,cluster7
0.372217,5,1,2030,cluster11,cluster7
0.372217,5,1,2030,cluster11,cluster7
0.372217,5,1,2030,cluster11,cluster7
0.372217,5,1,2030,cluster11,cluster7
0.372217,5,1,2030,cluster11,cluster7
0.372217,5,1,2030,cluster11,cluster7
0.372217,5,1,2030,cluster11,cluster7
0.372217,5,1,2030,cluster11,cluster7
0.372217,5,1,2030,cluster11,cluster7
0.372217,5,1,2030,cluster11,cluster7
0.372217,5,1,2030,cluster11,cluster7
0.372217,5,1,2030,cluster11,cluster7
0.372217,5,1,2030,cluster11,cluster7
0.372217,5,1,2030,cluster11,cluster7
0.372217,5,1,2030,cluster11,cluster7
0.372217,5,1,2030,cluster11,cluster7
0.372217,5,1,2030,cluster11,cluster7
0,5,1,3060,cluster11,cluster11
0.22925,5,1,6460,cluster11,cluster11
0.74773,3,1,1470,cluster11,cluster15
0.74773,3,1,1470,cluster11,cluster15
0.74773,3,1,1470,cluster11,cluster15
0.74773,3,1,1470,cluster11,cluster15
0.74773,3,1,1470,cluster11,cluster15
0.74773,3,1,1470,cluster11,cluster15
0.74773,3,1,1470,cluster11,cluster15
0.74773,3,1,1470,cluster11,cluster15
0.74773,3,1,1470,cluster11,cluster15
0.74773,3,1,1470,cluster11,cluster15
0.74773,3,1,1470,cluster11,cluster15
0.74773,3,1,1470,cluster11,cluster15
0.74773,3,1,1470,cluster11,cluster15
0.74773,3,1,1470,cluster11,cluster15
0.74773,3,1,1470,cluster11,cluster15
0.74773,3,1,1470,cluster11,cluster15
0,0,1,3430,cluster11,cluster11
0,5,1,2300,cluster11,cluster11
0.659863,3,1,530,cluster11,cluster15
0.659863,3,1,530,cluster11,cluster15
0.659863,3,1,530,cluster11,cluster15
0.659863,3,1,530,cluster11,cluster15
0.659863,3,1,530,cluster11,cluster15
0.659863,3,1,530,cluster11,cluster15
0.659863,3,1,530,cluster11,cluster15
0.659863,3,1,530,cluster11,cluster15
0.659863,3,1,530,cluster11,cluster15
0.659863,3,1,530,cluster11,cluster15
0.659863,3,1,530,cluster11,cluster15
0.659863,3,1,530,cluster11,cluster15
0.659863,3,1,530,cluster11,cluster15
0.659863,3,1,530,cluster11,cluster15
