@relation 'week1_v4_clustered-weka.filters.unsupervised.attribute.Remove-R4-6,8-30-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P30.0'

@attribute Day numeric
@attribute Time numeric
@attribute 'use [kW]_y' numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19}

@data
1,44700,0.556533,cluster6
1,221200,1.055933,cluster0
1,104100,1.695817,cluster19
1,90100,1.679083,cluster13
1,25600,1.219783,cluster13
1,151600,1.01825,cluster2
0,232500,1.863183,cluster17
0,131800,0.337617,cluster8
0,202000,1.036967,cluster8
1,134000,1.28115,cluster12
1,235500,2.594717,cluster1
1,140000,0.88755,cluster19
1,140300,0.44235,cluster3
1,135300,0.884717,cluster9
1,15800,0.9721,cluster13
1,93500,1.133517,cluster13
1,93800,1.575267,cluster13
0,40700,0.965533,cluster15
0,152300,1.1009,cluster7
0,132400,0.338633,cluster8
1,83500,1.317967,cluster13
1,161600,0.860483,cluster9
1,115600,0.891467,cluster9
1,95000,0.44135,cluster11
1,134400,0.487583,cluster11
1,101500,0.414683,cluster11
1,1700,0.605583,cluster11
1,190900,1.2194,cluster3
1,221100,0.657867,cluster4
1,95600,0.536083,cluster13
1,11400,0.9828,cluster13
0,3900,1.308333,cluster1
1,74400,0.9635,cluster12
1,214900,1.239317,cluster0
1,160800,1.25895,cluster2
0,24200,0.969183,cluster18
1,231400,1.13385,cluster2
0,73200,1.0607,cluster18
0,223700,0.69305,cluster8
1,184900,1.482583,cluster2
0,125000,1.039717,cluster14
1,105800,1.071767,cluster19
1,163800,1.6858,cluster2
1,72800,2.151517,cluster2
1,211700,0.6356,cluster4
1,131600,0.4307,cluster11
1,213900,0.824733,cluster9
1,75100,1.648617,cluster13
1,41400,0.42595,cluster6
1,72500,1.956167,cluster2
1,82900,0.614483,cluster11
1,82600,1.9072,cluster2
0,160300,5.957517,cluster17
1,145700,0.448767,cluster11
1,163600,0.590517,cluster11
1,212100,0.45785,cluster3
0,3300,2.698,cluster1
1,143800,0.6422,cluster4
0,221700,1.0148,cluster14
0,153400,1.19275,cluster7
1,60700,0.5298,cluster11
